534: R' B L2 B2 D2 B2 U' F2 D L 
535: R' B L2 B' D2 B U' F2 D L 
536: R' B L' U2 F2 D' L R' U B2 
537: R' B L' D L U' R F2 R2 D2 
538: R' B L' D L U' R2 F2 R D2 
539: R' B2 U' L2 B' D F2 L2 D2 L' 
540: R' B2 U' R2 F' U' F' R B2 D2 
541: R' B2 U' B R2 F2 U' B2 D2 L' 
542: R' B2 U' B' D F2 U L2 D2 L' 
543: R' B2 U' B' L D F2 L' D2 L2 
544: R' B2 U' B' L2 D F2 L2 D2 L' 
545: R' B2 U' B' R F2 R2 D L D 
546: R' B2 L2 D L2 R' D2 B' U' B 
547: R' B' U D' R2 B2 U R2 U2 L' 
548: R' B' U' D L2 F2 U L2 D2 L' 
549: R' B' U' L D L F2 L2 D2 L' 
550: R' B' U' L D' R U2 B2 L2 R 
551: R' B' U' L D' B2 R U2 B2 L2 
552: R' B' U' L B2 D' R U2 B2 L2 
553: R' B' U' L' D L' F2 L2 D2 L' 
554: R' B' U' L' D R F2 R2 D2 R 
555: R' B' U' L' D R2 F2 R D2 R2 
556: R' B' U' R F2 D L U2 D L2 
557: R' B' U' R2 F2 U2 R U B2 D2 
558: R' B' U' R2 F2 R B2 D L' D 
559: R' B' U' R2 F2 B2 D2 L' U F2 
560: R' B' U' R2 F2 B2 D' R2 D' L' 
561: R' B' D' F2 L2 R2 U' R2 D' L' 
562: R' B' D' F2 L2 R2 D' F2 U' L' 
563: R' B' L U' L D L2 U2 R' D2 
564: R' B' L D2 F2 R' B2 D L R 
565: R' B' R2 U D2 L2 F2 B2 U2 L' 
566: R' B' R2 U L2 F2 B2 U2 L' R2 
567: R' B' R2 B2 L2 R2 D L2 D2 L' 
568: F U2 D B2 R2 D2 R' D' F L2 
569: F U2 D2 B U' F2 R D' R' B2 
570: F U2 L U' D' L' D2 F' B2 L2 
571: F U2 L U' D' B2 L' F' L2 R 
572: F U2 L R2 U' D' L' D2 F' L2 
573: F U2 L' R2 D' L D2 F L2 F' 
574: F U2 R2 F B' L B2 D L R 
575: F U2 R2 B' L B2 D L R F 
576: F U2 F D R2 B2 L B' D L 
577: F U2 F D R2 B' L B2 D L 
578: F U2 F D B2 L B' R2 D L 
579: F U2 F D B' L B2 R2 D L 
580: F U2 F R2 B' L B2 D L R 
581: F U2 F B U' D' F2 R' D' B2 
582: F U2 F B' D L B2 R2 D L 
583: F U2 F B' L B2 R2 D L R' 
584: F U2 F' B U' D' R' F2 D' B2 
585: F U2 B U' F' D' R' F' D' B2 
586: F U2 B2 R2 D2 R' D' R F L2 
587: F U2 B2 R2 F L D' L' D2 L2 
